Dấu thời gian,Name,UID,Wallet,Email,Tx hash,Which feature did you like the most?,Would you recommend this product to others?,What feature do you think is missing?,Did you encounter any bugs or usability issues?,What improvements would you like to see?
12/09/2026 2:29:31,Pham Quoc Huy,UID-UC-016,mn_shield-addr_preprod1gx6n1p66aq95oqyynf44gjgs8c2p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v22x3m8,quochuy.pham15@gmail.com,0xe98ce2c7daba36475b0bd4a353d36ba127560dae58b369496025ec9429922fcf,The overall user experience,I would recommend trying it,Credential revocation,I was not sure if the wallet was connected correctly at first,Clearer wallet connection feedback
12/09/2026 6:25:21,Vo Minh Tri,UID-UC-017,mn_shield-addr_preprod1hx8p4r88bq16pqyynf99gjgs5d4p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v88y7n4,minhtri.vo63@gmail.com,0xe960602f0ce4fc13f6dfdab28f0a369ac7dfda786d9b58c65bc1291dbbea8fc7,The private proof generation,"Yes, especially to people interested in decentralized identity",Notifications after successful verification,One action appeared to load for a while,A more detailed verification result
12/09/2026 8:57:38,Bui Anh Tuan,UID-UC-018,mn_shield-addr_preprod1jx1r7t11cq27qqyynf33gjgs2e6p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v55z1o7,anhtuan.bui24@gmail.com,0x35f13d3fedeab89a4f8b1447222ed5b8455a4eede01cc310449bd98d66bc4168,The way credentials can be verified securely,Yes,A wallet connection status indicator,The proof error message was difficult to understand,A retry button for failed actions
12/09/2026 10:58:07,Hoang Gia Khanh,UID-UC-019,mn_shield-addr_preprod1kx4m9v33dq38rqyynf66gjgs7f8p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v44a5p1,giakhanh.hoang81@gmail.com,0x56094f12e94530738835bef7552f941442f16456c4dad76229f688bad66a581a,The minimal dashboard,Most likely yes,A tutorial for first-time users,"The page worked, but some states need clearer feedback",Better mobile responsiveness
12/09/2026 11:36:17,Dang Minh Hoang,UID-UC-020,mn_shield-addr_preprod1lx7q2w55eq49sqyynf22gjgs9g1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v11b9q6,minhhoang.dang39@gmail.com,0x5dd1dd9678dcf38af3afdef21507ef331a9c9c14e708b08bfa6fe2dd9c5c8db5,The eligibility proof process,"Yes, but I would like to see more documentation",A credential activity log,I experienced a transaction failure,A step-by-step tutorial
12/09/2026 13:07:49,Do Tuan Anh,UID-UC-021,mn_shield-addr_preprod1mx9s5x77fq51tqyynf88gjgs3h3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v77c3r2,tuananh.do57@gmail.com,0x46cde2da38f26de8581d3534b59c411b0108a5dc6be9e6fcb73b4983fe1576c6,The confidential credential concept,"Yes, it has a strong concept",Support for multiple credentials,The registration button could show a better loading state,More credential types
12/09/2026 14:55:32,Ngo Quoc Viet,UID-UC-022,mn_shield-addr_preprod1nx3t8y99gq62uqyynf11gjgs1i5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33d7s8,quocviet.ngo68@gmail.com,0x8bac961cf46b4986ac13b5dd8a3b2b95747926c6eec8e92b5b58af1116228698,The simple connect and verify flow,I would recommend it to technical users,More detailed verification results,No significant bugs,Improved transaction status feedback
12/09/2026 18:54:45,Duong Thanh Son,UID-UC-023,mn_shield-addr_preprod1px6v1z22hq73vqyynf77gjgs8j7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v99e1t4,thanhson.duong21@gmail.com,0x58b400ba6ab668c3bbb8c6d9806ce384cb8b0b3224040357d60be5718fb170e8,The privacy-preserving verification,"Yes, the experience was straightforward",A retry button when a transaction fails,The verification flow was slightly confusing the first time,A cleaner credential management page
12/09/2026 21:17:27,Phan Minh Hieu,UID-UC-024,mn_shield-addr_preprod1qx8w4a44iq84wqyynf44gjgs5k9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v22f5u9,minhhieu.phan94@gmail.com,0xe711d4fd29dbdb7f33269db4bf78913211ad1c6f7cbf698896be3883423b2c7e,The clean UI,"Yes, if the current bugs are fixed",A user dashboard,I had to refresh once,Better error explanations
12/09/2026 21:38:54,Nguyen Hoang Long,UID-UC-025,mn_shield-addr_preprod1rx1y7b66jq95xqyynf99gjgs2l1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v88g9v3,hoanglong.nguyen46@gmail.com,0x170ba1c65543e02766800232bdfe0a52cfdf76af92ed84e0b31151c506a1aa6d,Registering a credential was straightforward,"Definitely, privacy verification is valuable",Credential expiration dates,The error text looked developer-focused,A visible proof progress indicator
13/09/2026 5:39:03,Tran Duc Manh,UID-UC-026,mn_shield-addr_preprod1sx4a9c88kq16yqyynf33gjgs7m3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v55h3w7,ducmanh.tran32@gmail.com,0xe8b075dd5d8bca36344ddc4844f8471e6eb4b60de1c81bc00f46acf64cfeaf2d,The proof verification feature,"Yes, it feels promising",A network status indicator,The proof did not complete on my first attempt,More information about the Midnight integration
13/09/2026 7:05:43,Le Quang Anh,UID-UC-027,mn_shield-addr_preprod1tx7b2d11lq27zqyynf66gjgs9n5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v44i7x1,quanganh.le79@gmail.com,0x24d8b8bf66ff3b75b2d65b7f1d262c24fc33586db34cb50d411560e3ca50624d,The focus on data privacy,I would recommend it for testing,More documentation,The interface needs clearer success messages,A simpler onboarding experience
13/09/2026 12:09:22,Pham Minh Tuan,UID-UC-028,mn_shield-addr_preprod1ux9c5e33mq38aqyynf22gjgs3o7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v11j1y6,minhtuan.pham53@gmail.com,0x5905105d1577b7333f2b47f52b6be38751994067a2f83f36babb61e816da640a,The simple onboarding experience,"Yes, especially for credential-based applications",A proof history section,I was unsure what to do after registering,Credential revocation support
13/09/2026 16:39:37,Vo Gia Huy,UID-UC-029,mn_shield-addr_preprod1vx3d8f55nq49bqyynf88gjgs1p9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v77k5z2,giahuy.vo88@gmail.com,0xc05fd859eb50f52b7b1c61c579bb212703e28c74f2a77f6d6ac677bac6191743,The credential commitment system,"Yes, but onboarding could be clearer",A way to update registered credentials,Some transaction feedback was delayed,A clearer distinction between registration and verification
13/09/2026 17:39:49,Bui Quoc Khanh,UID-UC-030,mn_shield-addr_preprod1wx6e1g77oq51cqyynf11gjgs8q1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33l9a8,quockhanh.bui17@gmail.com,0x876425d3e11e5174d5f9ff3f3c5e79e46ccf10a48d1891492e566a02a94da1dc,The verification without sharing sensitive information,"Yes, I think other users would find it useful",More eligibility rules,"No major issues, just minor UX improvements",More detailed documentation
13/09/2026 18:55:05,Hoang Duc Anh,UID-UC-031,mn_shield-addr_preprod1xx8f4h99pq62dqyynf77gjgs5r3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v99m3b4,ducanh.hoang61@gmail.com,0xd8ef7569b4b3c4459fad030919e441c5c54c01f33ea6cd451e468fa03568a79c,The overall design,Absolutely,A confirmation screen before transactions,The proof button could be disabled while processing,A recent activity dashboard
14/09/2026 0:22:06,Dang Thanh Nam,UID-UC-032,mn_shield-addr_preprod1yx1g7i22qq73eqyynf44gjgs2s5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v22n7c9,thanhnam.dang74@gmail.com,0x948b6f550ca13fc5f2341178bfaa5905d8f76d3137202f0c2b2d93f28f971736,The private credential registration,"Yes, mainly because of the privacy features",A credential details page,I saw an error during credential verification,Better network error handling
14/09/2026 4:05:45,Do Minh Quan,UID-UC-033,mn_shield-addr_preprod1zx4h9j44rq84fqyynf99gjgs7t7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v88o1d3,minhquan.do26@gmail.com,0xd87a2f2a8bf45a2fb5ff3a6e157d005afbb9850577da7ff70dbbe906c1c07f86,The eligibility verification process,I would recommend it,A better error reporting panel,The registration process did not explain every step,More visual confirmation after each action
14/09/2026 8:37:01,Ngo Tuan Khang,UID-UC-034,mn_shield-addr_preprod1ax7i2k66sq95gqyynf33gjgs9u9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v55p5e7,tuankhang.ngo95@gmail.com,0x196dd47ab2a0bd5df4a8ab7b8e996d500f330e0d4aa2378e3506555978599648,The clear interface,"Yes, with some improvements to error handling",A test credential generator,The app could better indicate network problems,A smoother proof flow
14/09/2026 9:58:49,Duong Gia Bao,UID-UC-035,mn_shield-addr_preprod1bx9j5l88tq16hqyynf66gjgs3v1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v44q9f1,giabao.duong43@gmail.com,0x3815bddbf15f0119aced9ad28302ed2c8be74af947a028ebecd58993e3fae93c,The proof generation concept,"Yes, the idea solves a real privacy problem",Support for different verification conditions,I had one failed transaction,More information for non-technical users
14/09/2026 17:12:30,Phan Quoc Dat,UID-UC-036,mn_shield-addr_preprod1cx3k8m11uq27iqyynf22gjgs1w3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v11r3g6,quocdat.phan69@gmail.com,0x43dcacb6f21412c9b98b7a9787b4bbfbc1e4ff1d2fb66d46383d7ba88678beee,The privacy protection,"Probably, especially for Web3 communities",A step-by-step onboarding guide,The loading feedback needs improvement,A dedicated credential details page
14/09/2026 22:54:10,Nguyen Thanh Tung,UID-UC-037,mn_shield-addr_preprod1dx6l1n33vq38jqyynf88gjgs8x5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v77s7h2,thanhtung.nguyen12@gmail.com,0x69a5bcf279fd4104a9893d42852d30d7e11d69822855fb9bebc893e13b5dca69,The credential verification workflow,"Yes, it is worth exploring",Credential status indicators,"No bugs, but the flow could be more guided",Faster response times
14/09/2026 23:18:33,Tran Hoang Minh,UID-UC-038,mn_shield-addr_preprod1ex8m4o55wq49kqyynf11gjgs5y7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33t1i8,hoangminh.tran83@gmail.com,0x6ddf931dceaac5fe60abe710b1cdc2aedfdd213c2af70c007eee80629c137beb,The simple layout,"Yes, the product has potential",A transaction explorer link,I was confused by one verification error,Better accessibility
14/09/2026 23:47:55,Le Minh Kiet,UID-UC-039,mn_shield-addr_preprod1fx1n7p77xq51lqyynf77gjgs2z9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v99u5j4,minhkiet.le37@gmail.com,0x3a17a21762cb09029cc025c39e3cbc9c5ea52d026eaa196b820066b135f623dc,The ability to prove a condition privately,I would recommend it to privacy-conscious users,A proof receipt,The transaction took a while without much feedback,A simple FAQ section
15/09/2026 1:05:55,Pham Duc Huy,UID-UC-040,mn_shield-addr_preprod1gx4o9q99yq62mqyynf44gjgs7a1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v22v9k9,duchuy.pham56@gmail.com,0x29f868399ba7ee2b816bc6c5a46e42c629cf276405d17bdd22eb90e47d609c46,The registration feature,Yes,A way to delete or revoke a credential,The app worked well overall,More descriptive button states
15/09/2026 2:46:00,Vo Quang Nam,UID-UC-041,mn_shield-addr_preprod1hx7p2r22zq73nqyynf99gjgs9b3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v88w3l3,quangnam.vo22@gmail.com,0x35bb8c69c14533abc3f79515fe4e8e00654d5e95e857b36aed6881ed2494c0f2,The confidential identity concept,"Yes, although it still feels like an early version",More examples of credential use cases,The error handling could be more user-friendly,Improved mobile UI
15/09/2026 4:40:36,Bui Minh Tri,UID-UC-042,mn_shield-addr_preprod1ix9q5s44aq84oqyynf33gjgs3c5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v55x7m7,minhtri.bui71@gmail.com,0x8946e25d763ba035e4d09c9a9b055588b3352d5ef6a38a6526f237b22fea6a00,The fast and simple navigation,"Yes, the concept is innovative",A network selector,I had to click the action again once,A clearer explanation of eligibility conditions
15/09/2026 5:52:20,Hoang Tuan Kiet,UID-UC-043,mn_shield-addr_preprod1jx3r8t66bq95pqyynf66gjgs1d7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v44y1n1,tuankiet.hoang48@gmail.com,0xc5e972070f583c9edfcce8f544e096c0491bbbf5b1916f2791b22a576eb84555,The privacy-based eligibility check,I would recommend giving it a try,A recent activity section,The proof status was not immediately clear,A system status indicator
15/09/2026 21:45:48,Dang Gia Huy,UID-UC-044,mn_shield-addr_preprod1kx6s1u88cq16qqyynf22gjgs8e9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v11z5o6,giahuy.dang93@gmail.com,0xb3017e9de712e52f1536e9ccd5414ccffa1daa7f7ae8c9b46b51c99b30681849,The credential proof system,"Yes, especially for private verification use cases",A loading progress indicator,The credential registration returned an error once,Credential expiration controls
16/09/2026 5:27:19,Do Thanh Dat,UID-UC-045,mn_shield-addr_preprod1lx8t4v11dq27rqyynf88gjgs5f1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v77a9p2,thanhdat.do34@gmail.com,0x4ec400822cfd4feaefb76b67f1aabdfefeef6df6932f50f9c80663fa737bf95f,The user-friendly interface,"Yes, once the flow is more polished",A credential search feature,No major bugs encountered,A more polished dashboard
16/09/2026 6:52:16,Ngo Minh Hoang,UID-UC-046,mn_shield-addr_preprod1mx1u7w33eq38sqyynf11gjgs2g3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33b3q8,minhhoang.ngo65@gmail.com,0xd8f5f2d3ac28d3220828f0ba6e6aa12d2c4e3b5b1222a32722f33664cab3b863,The private verification experience,Definitely yes,A clearer wallet connection flow,The interface did not clearly show whether the proof succeeded,Better loading animations
16/09/2026 6:59:51,Duong Quoc Anh,UID-UC-047,mn_shield-addr_preprod1nx4v9x55fq49tqyynf77gjgs7h5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v99c7r4,quocanh.duong19@gmail.com,0xf316a4f29b2e08b95a8784eb84fed36f17f156879e65563280ce4bfc196eea9d,The idea behind UmbraCred,"Yes, it is easy to understand",A verification history,There was some delay after submitting,More detailed proof receipts
16/09/2026 9:39:54,Phan Duc Minh,UID-UC-048,mn_shield-addr_preprod1px7w2y77gq51uqyynf44gjgs9i7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v22d1s9,ducminh.phan82@gmail.com,0x6a46c92e3fa4922deb2ea0c14a0387e958e6ef5e3bd8d6c6ce43b02a877e66c9,The credential registration screen,"Yes, the privacy model makes it interesting",More information about generated proofs,The technical error message may confuse new users,An easier retry experience
16/09/2026 18:56:24,Nguyen Bao Long,UID-UC-049,mn_shield-addr_preprod1qx9x5z99hq62vqyynf99gjgs3j9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v88e5t3,baolong.nguyen41@gmail.com,0x64bb7ab9a43cfa0827c4171812b9fa7904c47dd9b6a0f6cd8ef94863e5739af7,The privacy-preserving proof,I would recommend it to friends interested in blockchain,Credential metadata,The verification did not work on my first try,Better feedback when a transaction fails
17/09/2026 0:48:38,Tran Gia Minh,UID-UC-050,mn_shield-addr_preprod1rx3y8a22iq73wqyynf33gjgs1k1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v55f9u7,giaminh.tran67@gmail.com,0x492df242305c1270d05abe7d4d758b20584a29cf23df2b4853779107edef7a25,The eligibility check,"Yes, but clearer guidance would help",A success notification system,The page could provide clearer transaction states,Support for multiple credentials
17/09/2026 13:05:29,Le Thanh Huy,UID-UC-051,mn_shield-addr_preprod1sx6z1b44jq84xqyynf88gjgs8l3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33g1v8,thanhhuy.le28@gmail.com,0xfcac113fdda67a2962477f4891fefe0d445f3262bba6caafc8976ce9c6b9b2dc,The clean visual design,Yes,A guided demo mode,I experienced a temporary fetch error,A transaction explorer shortcut
17/09/2026 13:38:03,Pham Quang Kiet,UID-UC-052,mn_shield-addr_preprod1tx8a4c66kq95yqyynf11gjgs5m5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v99h5w4,quangkiet.pham96@gmail.com,0x01558ea8079202efb8d377e7d5a17495e606628562ac3655f416c6c3e77bba42,The secure credential concept,I think so,A credential management section,No serious usability issues,More contextual help inside the app
17/09/2026 14:19:26,Vo Duc Bao,UID-UC-053,mn_shield-addr_preprod1ux1b7d88lq16zqyynf77gjgs2n7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v22i9x9,ducbao.vo54@gmail.com,0x6d5565a8bc1a33f5fdc84423efb291b5b711d1f0091768dfa1d579818a1f25b2,The straightforward workflow,"Yes, particularly for developers",More detailed transaction feedback,The registration confirmation could be more visible,A clearer registration confirmation
17/09/2026 23:11:10,Bui Hoang Nam,UID-UC-054,mn_shield-addr_preprod1vx4c9e11mq27aqyynf44gjgs7o9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v88j3y3,hoangnam.bui31@gmail.com,0xcf9dce989c8e59daae185a51cc1afb758abefac9fb5acbe9a8837557eb521b06,The proof eligibility button,"Yes, it could become very useful",A FAQ page,The proof flow needs a clearer progress state,Better handling of wallet disconnects
18/09/2026 2:21:54,Hoang Minh Huy,UID-UC-055,mn_shield-addr_preprod1wx7d2f33nq38bqyynf99gjgs9p1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v55k7z7,minhhuy.hoang77@gmail.com,0x02b7ebb3b501ffd61032f25fffed41373d5f6aaf1b69e10ecaa43ccbbeee1f2d,The confidential verification model,I would recommend the product,A retry transaction feature,One request failed and I had to retry,More use case examples
